0.0, 0.17, 0.14, 0.11, 0.1, 0.09, 6.24, 0.12, 0.1, 0.07, 0.19, 0.09, 0.17, 0.07, 0.13, 0.21, 0.08, 0.19, 0.09, 0.07, 0.07, 0.08, 0.1, 0.07, 0.13, 0.09, 0.13, 0.19, 0.11, 0.08, 0.26, 0.3, 0.25, 0.19, 0.25, 0.16, 0.16, 0.28, 0.14, 0.23, 0.24, 0.13, 0.17, 0.18, 0.26, 0.3, 0.16, 0.24, 0.18, 0.18, 0.3, 0.26, 0.17, 0.14, 0.17, 0.18, 0.28, 0.12, 0.18, 0.18, 0.16, 0.11, 0.21, 0.4, 0.08, 0.09, 0.2, 0.09, 0.15, 0.17, 0.11, 0.11, 0.19, 0.08, 0.24, 0.17, 0.18, 0.1, 0.21, 0.09, 0.17, 0.11, 0.25, 0.21, 0.13, 0.13, 0.16, 0.16, 0.29, 0.1, 0.13, 0.17, 0.18, 0.15, 0.28, 0.15, 0.25, 0.21, 0.22, 0.16, 0.25, 0.28, 0.24, 0.28, 0.17, 0.17, 0.26, 0.13, 0.18, 0.15, 0.16, 0.32, 0.23, 0.18, 0.17, 0.18, 0.18, 0.21, 0.16, 0.23, 0.26, 0.19, 0.29, 0.54, 0.27, 0.36, 0.23, 0.14
0.17, 0.0, 0.11, 0.07, 0.09, 0.04, 0.12, 0.05, 0.13, 0.07, 0.05, 0.1, 0.07, 0.05, 0.09, 0.13, 0.06, 0.07, 0.05, 0.05, 0.24, 0.05, 0.05, 0.08, 0.13, 0.07, 0.07, 0.06, 0.09, 0.13, 0.07, 0.25, 9.07, 0.49, 0.53, 0.6, 0.98, 0.46, 0.55, 0.49, 0.56, 0.48, 0.58, 0.48, 0.59, 0.46, 0.55, 0.67, 0.52, 0.53, 0.53, 0.5, 0.53, 0.55, 0.56, 0.49, 0.59, 0.55, 0.59, 0.51, 0.73, 0.59, 0.54, 0.52, 0.54, 0.51, 0.53, 0.69, 0.52, 0.47, 0.61, 0.56, 0.52, 0.55, 0.53, 0.51, 2.83, 0.52, 0.54, 0.57, 0.51, 0.56, 0.59, 0.53, 0.57, 0.49, 0.53, 0.48, 2.6, 0.76, 2.5, 1.1, 1.81, 0.8, 1.4, 2.28, 1.47, 0.72, 1.17, 3.93, 0.52, 0.56, 0.62, 0.56, 0.6, 0.5, 0.59, 0.56, 0.59, 0.69, 0.62, 0.56, 0.6, 0.6, 0.57, 0.58, 0.57, 0.52, 0.57, 0.75, 0.69, 0.66, 0.62, 0.75, 0.66, 0.65, 0.68, 0.6
0.14, 0.11, 0.0, 0.06, 0.13, 0.04, 0.1, 0.14, 0.11, 0.1, 0.05, 0.07, 0.05, 0.05, 0.1, 0.05, 0.08, 0.08, 0.11, 0.05, 0.05, 0.24, 0.05, 0.14, 0.08, 0.11, 0.05, 0.12, 0.15, 0.06, 0.26, 0.09, 9.27, 0.48, 0.45, 0.5, 0.67, 0.88, 0.64, 0.55, 0.5, 0.48, 0.47, 0.52, 0.57, 0.44, 0.45, 0.48, 0.5, 0.51, 0.5, 0.46, 0.46, 0.76, 0.42, 0.43, 0.56, 0.5, 0.43, 0.47, 0.55, 0.5, 0.46, 0.63, 0.52, 0.49, 0.49, 0.63, 0.5, 3.33, 14.1, 0.51, 0.5, 0.47, 0.56, 0.5, 0.52, 0.51, 0.59, 0.51, 0.52, 0.52, 0.5, 0.49, 0.51, 0.56, 0.5, 0.52, 0.55, 0.51, 0.48, 0.47, 0.56, 0.58, 0.59, 0.57, 0.54, 0.49, 0.59, 0.58, 0.71, 0.62, 0.62, 0.55, 0.49, 0.68, 0.97, 0.73, 0.54, 0.58, 0.57, 0.57, 0.54, 0.54, 0.56, 0.57, 0.55, 0.54, 0.57, 0.78, 0.57, 0.51, 0.48, 0.46, 0.53, 0.55, 0.62, 0.52
0.11, 0.07, 0.06, 0.0, 0.05, 0.11, 0.13, 0.05, 0.09, 0.13, 0.08, 0.07, 0.08, 0.05, 0.11, 0.05, 0.11, 0.07, 0.05, 0.09, 0.06, 0.05, 0.05, 0.32, 0.05, 0.1, 0.13, 0.06, 0.06, 0.08, 0.09, 0.08, 8.88, 0.49, 0.55, 0.64, 0.52, 0.77, 1.21, 0.44, 0.48, 0.51, 0.48, 0.5, 0.54, 0.52, 0.53, 0.55, 0.54, 0.52, 0.5, 0.51, 0.53, 0.52, 0.58, 0.54, 0.53, 0.44, 0.42, 0.41, 1.07, 0.53, 0.47, 0.47, 0.47, 0.66, 0.53, 0.47, 0.57, 0.55, 0.51, 0.56, 0.5, 0.5, 0.51, 0.5, 0.51, 0.55, 0.5, 0.51, 0.5, 0.51, 0.5, 0.86, 0.48, 0.45, 0.66, 0.49, 0.63, 0.48, 0.49, 0.57, 0.46, 0.48, 0.43, 0.49, 0.5, 0.51, 0.48, 0.45, 0.57, 0.51, 0.59, 0.46, 0.51, 0.59, 0.67, 0.63, 0.62, 0.55, 0.57, 0.46, 0.48, 0.52, 0.83, 0.52, 0.52, 0.55, 0.7, 0.56, 0.63, 0.51, 0.63, 0.55, 0.62, 0.64, 0.61, 0.62
0.1, 0.09, 0.13, 0.05, 0.0, 0.05, 0.1, 0.06, 0.24, 0.05, 0.1, 0.07, 0.05, 0.05, 0.06, 0.04, 0.05, 0.07, 0.05, 0.05, 0.05, 0.05, 0.16, 0.15, 0.05, 0.05, 0.29, 0.22, 0.04, 0.05, 0.1, 0.07, 8.94, 0.49, 0.46, 0.45, 0.4, 0.44, 0.47, 0.46, 0.68, 1.27, 0.52, 0.51, 0.52, 0.42, 0.51, 0.41, 0.58, 0.43, 0.53, 0.41, 0.42, 0.43, 0.47, 0.42, 0.46, 0.53, 0.43, 0.42, 0.43, 0.52, 0.43, 0.49, 0.43, 0.49, 0.47, 0.48, 0.5, 0.44, 0.48, 0.41, 0.53, 0.5, 0.49, 0.48, 0.53, 0.52, 0.49, 0.51, 0.5, 0.5, 0.55, 0.52, 0.51, 0.5, 0.58, 0.51, 0.55, 0.48, 0.53, 0.51, 0.51, 0.51, 0.53, 0.47, 0.51, 0.49, 0.56, 0.62, 0.67, 0.54, 0.64, 0.55, 0.55, 0.58, 0.56, 0.47, 0.59, 0.55, 0.59, 0.51, 0.5, 0.55, 0.58, 0.5, 0.47, 0.57, 0.56, 0.64, 0.61, 0.55, 3.56, 0.54, 0.5, 0.53, 0.46, 0.45
0.09, 0.04, 0.04, 0.11, 0.05, 0.0, 0.05, 0.04, 0.08, 0.06, 0.08, 0.07, 0.1, 0.11, 0.07, 0.06, 0.05, 0.07, 0.05, 0.07, 0.19, 0.19, 0.07, 0.06, 0.05, 0.07, 0.11, 0.46, 0.23, 0.08, 0.05, 0.05, 8.17, 0.5, 0.55, 0.47, 0.41, 0.43, 0.54, 0.49, 0.53, 0.5, 0.52, 0.49, 0.49, 0.51, 0.51, 0.52, 0.51, 0.57, 0.74, 0.55, 0.5, 0.54, 0.55, 0.5, 0.44, 0.5, 0.5, 0.52, 0.42, 0.48, 0.51, 0.44, 0.47, 0.49, 0.5, 0.49, 0.97, 0.47, 0.56, 0.51, 0.5, 0.47, 0.48, 0.5, 0.47, 0.48, 0.57, 0.52, 0.49, 0.66, 0.49, 0.5, 0.42, 0.45, 0.46, 0.52, 0.54, 0.47, 0.81, 0.45, 0.45, 0.49, 0.45, 0.53, 0.52, 0.51, 0.46, 0.43, 0.46, 0.55, 0.53, 0.48, 0.5, 0.5, 0.47, 0.46, 0.5, 0.48, 0.9, 0.55, 0.52, 0.53, 0.48, 0.49, 0.52, 0.54, 0.57, 0.59, 0.57, 0.52, 0.56, 0.7, 0.58, 0.57, 0.54, 0.47
6.24, 0.12, 0.1, 0.13, 0.1, 0.05, 0.0, 0.06, 0.1, 0.11, 0.13, 0.07, 0.1, 0.07, 0.1, 0.07, 0.04, 0.05, 0.05, 0.2, 0.12, 0.05, 0.05, 0.05, 0.05, 0.06, 0.05, 0.05, 0.06, 0.05, 0.1, 0.13, 9.04, 0.46, 0.43, 0.46, 0.46, 0.43, 0.43, 0.46, 0.42, 0.44, 0.54, 0.42, 0.42, 0.57, 0.54, 0.43, 0.55, 0.49, 0.5, 0.49, 0.47, 0.64, 0.51, 0.49, 0.53, 0.48, 0.49, 0.43, 0.48, 0.42, 0.47, 0.49, 0.43, 0.44, 0.41, 0.4, 0.41, 0.41, 0.41, 0.41, 0.46, 0.39, 0.41, 0.51, 0.53, 0.45, 0.54, 0.57, 0.55, 0.52, 0.51, 0.44, 0.5, 0.5, 0.51, 0.52, 0.54, 0.49, 0.48, 0.53, 0.49, 0.54, 0.56, 0.49, 0.53, 0.45, 0.54, 0.54, 0.55, 0.56, 0.52, 0.59, 0.56, 0.56, 0.56, 0.49, 0.5, 0.53, 0.53, 0.54, 0.54, 0.56, 0.53, 0.52, 0.56, 0.55, 0.58, 0.57, 0.58, 0.53, 0.57, 0.55, 0.6, 0.56, 0.54, 0.55
0.12, 0.05, 0.14, 0.05, 0.06, 0.04, 0.06, 0.0, 0.09, 0.06, 0.1, 0.06, 0.1, 0.11, 0.06, 0.05, 0.1, 0.05, 0.06, 0.1, 0.05, 0.05, 0.04, 0.1, 0.17, 0.07, 0.08, 0.07, 0.06, 0.05, 0.06, 0.08, 7.98, 0.43, 0.46, 0.51, 0.44, 0.51, 0.53, 0.42, 0.51, 0.43, 0.46, 0.53, 0.49, 0.52, 0.5, 0.55, 0.44, 0.43, 0.51, 1.66, 0.49, 0.54, 0.59, 0.55, 0.54, 0.6, 0.52, 0.55, 0.5, 0.5, 0.52, 0.59, 1.16, 0.53, 0.51, 0.53, 0.54, 0.51, 0.51, 0.51, 0.51, 0.51, 0.49, 0.51, 0.56, 0.55, 0.52, 0.48, 0.48, 0.42, 0.52, 0.5, 0.53, 0.53, 0.52, 0.48, 0.56, 0.43, 0.51, 0.47, 0.54, 0.47, 0.51, 0.5, 0.52, 0.49, 0.57, 0.86, 0.45, 0.53, 0.63, 0.58, 0.57, 0.55, 0.53, 0.57, 0.5, 0.59, 0.57, 0.54, 0.55, 0.56, 0.54, 0.54, 0.54, 0.55, 0.62, 0.54, 0.58, 0.58, 0.55, 0.49, 0.6, 4.04, 5.23, 1.16
0.1, 0.13, 0.11, 0.09, 0.24, 0.08, 0.1, 0.09, 0.0, 0.06, 0.08, 0.07, 0.08, 0.12, 0.09, 0.05, 0.12, 0.06, 0.06, 0.28, 0.13, 0.05, 0.27, 0.06, 0.05, 0.06, 0.07, 0.15, 0.06, 0.04, 0.25, 0.06, 9.39, 0.52, 0.63, 0.5, 0.45, 0.45, 0.47, 0.52, 0.45, 0.45, 0.44, 0.41, 0.53, 2.22, 1.73, 0.51, 0.43, 0.46, 0.57, 17.34, 0.61, 0.48, 0.55, 0.52, 0.46, 0.87, 0.61, 0.5, 0.71, 0.58, 0.57, 0.79, 0.65, 0.96, 0.91, 1.81, 1.3, 0.5, 0.55, 0.68, 0.62, 0.52, 0.52, 0.54, 0.54, 0.54, 0.51, 0.56, 0.53, 0.54, 0.53, 0.48, 0.57, 0.59, 0.56, 1.61, 0.68, 0.52, 0.57, 0.59, 0.78, 0.61, 0.72, 0.51, 0.51, 0.46, 0.54, 0.57, 0.57, 0.54, 1.31, 0.69, 0.58, 0.55, 0.56, 0.56, 0.56, 0.6, 0.75, 0.6, 0.45, 0.68, 0.74, 0.61, 0.48, 0.47, 0.44, 0.48, 0.53, 0.47, 0.47, 0.5, 0.59, 0.45, 0.51, 0.54
0.07, 0.07, 0.1, 0.13, 0.05, 0.06, 0.11, 0.06, 0.06, 0.0, 0.1, 0.07, 0.13, 0.13, 0.07, 0.05, 0.06, 0.05, 0.06, 0.06, 0.07, 0.05, 0.1, 0.07, 0.05, 0.07, 0.1, 0.07, 0.06, 0.05, 0.04, 0.05, 8.86, 0.43, 0.55, 0.49, 0.54, 0.42, 0.56, 0.48, 0.54, 0.51, 0.52, 4.49, 0.5, 0.52, 0.53, 0.52, 0.52, 0.51, 0.66, 0.48, 0.51, 0.48, 0.43, 0.47, 0.52, 0.49, 5.83, 0.43, 0.46, 0.51, 0.51, 0.52, 0.44, 0.52, 0.51, 0.49, 0.52, 0.5, 0.52, 0.54, 0.52, 0.47, 0.54, 0.5, 0.53, 0.51, 0.52, 0.47, 0.5, 0.49, 0.49, 1.12, 0.54, 0.47, 0.49, 0.54, 0.54, 0.47, 0.42, 0.51, 0.4, 0.45, 0.47, 0.52, 0.49, 0.52, 0.45, 0.56, 0.68, 0.47, 0.48, 0.53, 0.48, 0.59, 0.53, 0.47, 0.51, 0.61, 0.56, 0.54, 0.57, 0.57, 0.56, 0.53, 0.58, 0.59, 0.57, 0.58, 0.58, 0.6, 0.58, 0.51, 0.54, 0.59, 0.51, 0.55
