0.0, 0.1, 0.09, 0.26, 0.1, 0.14, 0.14, 0.14, 0.09, 0.13, 0.13, 0.14, 1.62, 1.13, 2.61, 2.38, 2.33, 3.29, 3.14, 3.34, 2.9, 3.01, 3.2, 2.99, 1.29, 1.65, 3.88, 4.41, 3.81, 2.11, 1.53, 2.38
0.1, 0.0, 0.2, 0.19, 0.38, 0.05, 0.35, 0.34, 0.41, 0.05, 0.34, 0.17, 3.26, 3.59, 4.63, 3.68, 4.61, 2.91, 2.82, 2.63, 2.91, 3.24, 7.03, 2.94, 1.36, 1.36, 1.45, 1.54, 1.18, 2.34, 1.55, 2.56
0.09, 0.2, 0.0, 0.21, 0.16, 0.32, 0.05, 0.31, 0.3, 0.33, 0.04, 0.33, 4.26, 3.09, 3.85, 2.67, 4.74, 4.43, 2.71, 4.06, 2.67, 3.44, 1.92, 2.16, 2.26, 1.62, 4.32, 2.53, 2.02, 1.6, 1.75, 1.47
0.26, 0.19, 0.21, 0.0, 0.16, 0.15, 0.34, 0.05, 0.31, 0.29, 0.3, 0.05, 3.54, 3.14, 2.72, 2.91, 1.88, 6.6, 4.03, 5.04, 4.8, 2.59, 1.76, 3.49, 6.15, 3.07, 3.05, 3.44, 3.28, 2.75, 3.43, 2.26
0.1, 0.38, 0.16, 0.16, 0.0, 0.2, 0.18, 0.3, 0.08, 0.31, 0.29, 0.31, 3.63, 1.58, 1.53, 1.93, 1.96, 2.51, 2.4, 5.88, 1.29, 2.19, 3.47, 2.92, 3.32, 2.76, 2.48, 2.48, 1.43, 2.3, 1.66, 1.27
0.14, 0.05, 0.32, 0.15, 0.2, 0.0, 0.18, 0.18, 0.32, 0.06, 0.32, 0.28, 2.07, 3.78, 4.04, 3.7, 2.1, 2.14, 1.82, 3.38, 2.32, 2.36, 13.33, 3.57, 6.06, 5.28, 2.03, 2.92, 1.6, 1.82, 2.36, 2.29
0.14, 0.35, 0.05, 0.34, 0.18, 0.18, 0.0, 0.19, 0.17, 0.29, 0.05, 0.26, 4.11, 3.25, 3.52, 3.4, 2.55, 2.91, 6.51, 2.11, 2.14, 2.76, 2.43, 3.31, 1.99, 5.95, 2.98, 3.14, 3.06, 2.27, 3.07, 2.55
0.14, 0.34, 0.31, 0.05, 0.3, 0.18, 0.19, 0.0, 0.15, 0.17, 0.29, 0.06, 2.11, 2.52, 4.06, 2.99, 3.6, 3.38, 2.62, 4.21, 2.69, 4.51, 2.88, 5.18, 5.9, 3.47, 2.0, 1.72, 2.45, 2.51, 1.56, 1.64
0.09, 0.41, 0.3, 0.31, 0.08, 0.32, 0.17, 0.15, 0.0, 0.21, 0.2, 0.29, 2.55, 2.24, 1.59, 1.81, 1.79, 2.25, 3.55, 2.86, 1.54, 2.66, 2.04, 3.53, 7.98, 2.62, 2.75, 3.54, 2.4, 4.41, 1.47, 3.42
0.13, 0.05, 0.33, 0.29, 0.31, 0.06, 0.29, 0.17, 0.21, 0.0, 0.16, 0.21, 7.53, 3.21, 13.36, 4.21, 5.57, 2.88, 2.41, 2.36, 2.45, 2.8, 2.31, 3.18, 4.63, 2.87, 1.79, 1.98, 4.0, 1.54, 1.82, 1.45
0.13, 0.34, 0.04, 0.3, 0.29, 0.32, 0.05, 0.29, 0.2, 0.16, 0.0, 0.23, 2.84, 1.83, 1.5, 3.21, 1.79, 2.54, 2.18, 5.9, 8.51, 2.6, 2.6, 3.6, 4.38, 3.87, 5.72, 1.41, 5.38, 2.21, 2.46, 1.58
0.14, 0.17, 0.33, 0.05, 0.31, 0.28, 0.26, 0.06, 0.29, 0.21, 0.23, 0.0, 7.32, 2.21, 3.32, 4.79, 4.46, 2.22, 2.33, 1.68, 2.13, 3.38, 2.8, 11.53, 1.83, 4.71, 2.89, 2.53, 1.67, 1.72, 1.61, 1.85
1.62, 3.26, 4.26, 3.54, 3.63, 2.07, 4.11, 2.11, 2.55, 7.53, 2.84, 7.32, 0.0, 0.23, 0.22, 0.45, 0.11, 0.35, 0.34, 0.36, 0.09, 0.36, 0.2, 0.21, 3.82, 2.64, 1.96, 3.33, 3.47, 2.78, 4.33, 2.63
1.13, 3.59, 3.09, 3.14, 1.58, 3.78, 3.25, 2.52, 2.24, 3.21, 1.83, 2.21, 0.23, 0.0, 0.2, 0.17, 0.38, 0.06, 0.3, 0.32, 0.36, 0.07, 0.32, 0.16, 1.88, 2.08, 9.12, 2.98, 2.58, 2.51, 9.09, 4.42
2.61, 4.63, 3.85, 2.72, 1.53, 4.04, 3.52, 4.06, 1.59, 13.36, 1.5, 3.32, 0.22, 0.2, 0.0, 0.2, 0.16, 0.28, 0.06, 0.3, 0.33, 0.32, 0.06, 0.35, 3.1, 2.13, 2.06, 4.94, 9.33, 2.87, 2.74, 2.18
2.38, 3.68, 2.67, 2.91, 1.93, 3.7, 3.4, 2.99, 1.81, 4.21, 3.21, 4.79, 0.45, 0.17, 0.2, 0.0, 0.15, 0.16, 0.32, 0.06, 0.33, 0.28, 0.32, 0.06, 2.83, 2.23, 3.05, 2.22, 1.98, 1.96, 2.98, 2.12
2.33, 4.61, 4.74, 1.88, 1.96, 2.1, 2.55, 3.6, 1.79, 5.57, 1.79, 4.46, 0.11, 0.38, 0.16, 0.15, 0.0, 0.23, 0.2, 0.3, 0.06, 0.28, 0.28, 0.32, 2.03, 2.8, 2.81, 3.24, 3.26, 3.31, 4.66, 2.49
3.29, 2.91, 4.43, 6.6, 2.51, 2.14, 2.91, 3.38, 2.25, 2.88, 2.54, 2.22, 0.35, 0.06, 0.28, 0.16, 0.23, 0.0, 0.16, 0.19, 0.3, 0.05, 0.29, 0.3, 9.35, 4.43, 3.5, 6.62, 4.8, 2.85, 4.74, 3.15
3.14, 2.82, 2.71, 4.03, 2.4, 1.82, 6.51, 2.62, 3.55, 2.41, 2.18, 2.33, 0.34, 0.3, 0.06, 0.32, 0.2, 0.16, 0.0, 0.23, 0.16, 0.28, 0.05, 0.26, 1.65, 2.31, 2.84, 5.11, 4.29, 2.43, 4.05, 3.06
3.34, 2.63, 4.06, 5.04, 5.88, 3.38, 2.11, 4.21, 2.86, 2.36, 5.9, 1.68, 0.36, 0.32, 0.3, 0.06, 0.3, 0.19, 0.23, 0.0, 0.15, 0.17, 0.27, 0.05, 4.31, 2.67, 2.56, 2.43, 2.2, 2.93, 2.38, 2.27
2.9, 2.91, 2.67, 4.8, 1.29, 2.32, 2.14, 2.69, 1.54, 2.45, 8.51, 2.13, 0.09, 0.36, 0.33, 0.33, 0.06, 0.3, 0.16, 0.15, 0.0, 0.23, 0.2, 0.29, 3.45, 3.59, 4.13, 4.05, 5.53, 2.73, 4.27, 4.23
3.01, 3.24, 3.44, 2.59, 2.19, 2.36, 2.76, 4.51, 2.66, 2.8, 2.6, 3.38, 0.36, 0.07, 0.32, 0.28, 0.28, 0.05, 0.28, 0.17, 0.23, 0.0, 0.18, 0.2, 3.9, 1.45, 2.76, 3.57, 3.6, 4.7, 4.35, 2.71
3.2, 7.03, 1.92, 1.76, 3.47, 13.33, 2.43, 2.88, 2.04, 2.31, 2.6, 2.8, 0.2, 0.32, 0.06, 0.32, 0.28, 0.29, 0.05, 0.27, 0.2, 0.18, 0.0, 0.23, 3.3, 3.03, 2.58, 3.66, 5.71, 2.02, 6.78, 2.58
2.99, 2.94, 2.16, 3.49, 2.92, 3.57, 3.31, 5.18, 3.53, 3.18, 3.6, 11.53, 0.21, 0.16, 0.35, 0.06, 0.32, 0.3, 0.26, 0.05, 0.29, 0.2, 0.23, 0.0, 3.4, 4.32, 4.08, 3.48, 3.63, 3.5, 3.2, 2.12
