0.0, 4.74, 0.96, 1.45, 0.56, 2.93, 1.43, 0.96, 0.17, 2.18, 0.72, 2.53, 3.0, 2.87, 0.7, 0.44, 2.27, 1.77, 2.8, 1.43, 0.86, 2.25, 1.16, 2.92, 0.3, 1.63, 1.61, 1.58, 1.41, 1.48, 0.65, 1.1
4.74, 0.0, 0.76, 0.98, 5.98, 3.08, 1.33, 1.47, 5.06, 1.37, 0.86, 1.6, 4.68, 2.03, 0.96, 1.96, 3.54, 0.12, 0.72, 3.49, 5.47, 1.39, 3.8, 1.87, 4.23, 0.25, 0.8, 0.79, 3.75, 1.49, 0.88, 0.64
0.96, 0.76, 0.0, 0.37, 2.64, 2.6, 1.64, 2.5, 4.42, 1.99, 0.52, 2.12, 4.55, 7.69, 0.62, 0.81, 4.61, 1.98, 0.11, 2.23, 11.0, 3.18, 1.23, 28.85, 2.71, 1.93, 0.09, 1.9, 3.08, 1.89, 0.37, 1.16
1.45, 0.98, 0.37, 0.0, 1.2, 1.18, 1.53, 0.73, 3.16, 2.68, 1.09, 0.52, 1.91, 1.92, 1.2, 1.03, 2.23, 3.28, 0.71, 0.08, 3.28, 1.25, 2.28, 0.63, 5.87, 1.86, 1.23, 1.26, 3.85, 1.65, 0.96, 0.32
0.56, 5.98, 2.64, 1.2, 0.0, 1.4, 2.06, 2.54, 0.99, 1.4, 0.76, 3.0, 2.4, 5.74, 1.19, 1.22, 1.8, 1.78, 0.99, 0.62, 0.32, 3.05, 1.18, 1.96, 2.25, 1.68, 2.32, 1.31, 0.36, 1.32, 1.2, 0.98
2.93, 3.08, 2.6, 1.18, 1.4, 0.0, 0.89, 2.24, 1.6, 0.45, 1.12, 3.08, 4.31, 1.98, 3.41, 5.33, 2.57, 2.23, 1.0, 1.84, 5.98, 1.05, 0.97, 5.77, 7.44, 3.32, 1.37, 1.24, 4.09, 0.47, 0.61, 2.05
1.43, 1.33, 1.64, 1.53, 2.06, 0.89, 0.0, 1.57, 3.31, 1.81, 2.83, 1.5, 2.94, 1.32, 0.17, 3.74, 5.75, 1.83, 0.87, 0.89, 2.94, 1.32, 0.52, 2.24, 3.19, 4.8, 0.76, 1.46, 3.86, 5.45, 0.78, 1.42
0.96, 1.47, 2.5, 0.73, 2.54, 2.24, 1.57, 0.0, 2.92, 2.94, 0.72, 11.45, 5.74, 3.01, 1.45, 0.11, 1.81, 2.3, 3.98, 2.43, 4.41, 2.6, 1.95, 0.09, 1.98, 4.19, 3.55, 1.78, 4.15, 2.18, 0.58, 0.14
0.17, 5.06, 4.42, 3.16, 0.99, 1.6, 3.31, 2.92, 0.0, 1.32, 0.65, 9.3, 2.51, 1.18, 1.41, 0.9, 0.8, 1.59, 2.04, 2.41, 3.51, 1.94, 0.95, 0.7, 0.1, 7.56, 7.49, 1.84, 2.11, 1.14, 1.65, 1.02
2.18, 1.37, 1.99, 2.68, 1.4, 0.45, 1.81, 2.94, 1.32, 0.0, 1.07, 0.31, 1.48, 1.61, 0.79, 1.0, 2.77, 0.43, 1.16, 1.03, 2.53, 3.1, 4.5, 2.06, 2.47, 0.81, 1.16, 1.87, 4.48, 1.58, 1.05, 3.24
