# Testing Hostname: Q0G-I3-J05.mira.i2b
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 2 of 32 (0,0,0,0,0,2)  R03-M1-N00-J00 002      17.90    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 3 of 32 (0,0,0,0,0,3)  R03-M1-N00-J00 003      17.58    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004      17.46    0.02
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005      17.63    0.02
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 6 of 32 (0,0,0,0,0,6)  R03-M1-N00-J00 006      17.67    0.02
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 7 of 32 (0,0,0,0,0,7)  R03-M1-N00-J00 007      17.63    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 8 of 32 (0,0,0,0,0,8)  R03-M1-N00-J00 008      17.71    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 9 of 32 (0,0,0,0,0,9)  R03-M1-N00-J00 009      17.65    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 10 of 32 (0,0,0,0,0,10)  R03-M1-N00-J00 010      17.67    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 11 of 32 (0,0,0,0,0,11)  R03-M1-N00-J00 011      17.66    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 12 of 32 (0,0,0,0,0,12)  R03-M1-N00-J00 012      17.68    0.02
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 13 of 32 (0,0,0,0,0,13)  R03-M1-N00-J00 013      17.73    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 14 of 32 (0,0,0,0,0,14)  R03-M1-N00-J00 014      17.75    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 15 of 32 (0,0,0,0,0,15)  R03-M1-N00-J00 015      17.67    0.03
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 16 of 32 (0,0,0,0,1,0)  R03-M1-N00-J07 016      18.84    0.12
Task 1 of 32 (0,0,0,0,0,1)  R03-M1-N00-J00 001  Task 17 of 32 (0,0,0,0,1,1)  R03-M1-N00-J07 017      17.50    0.03
