# Testing Hostname: bgio297
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Processor <0,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 000  Processor <6,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 030       9.83    0.06
Processor <0,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 000  Processor <7,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 031       9.59    0.07
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001       0.00    0.00
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002       8.91    0.02
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003       9.13    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 004       9.25    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 005       9.49    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 006       9.28    0.00
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 007       9.10    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <0,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 008       9.18    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 009       8.88    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 010       9.16    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 011       9.28    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 012       9.52    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 013       9.72    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 014       9.65    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 015       9.29    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <0,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 016       9.31    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 017       9.08    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 018       9.35    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 019       9.57    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 020       9.72    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 021       9.95    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 022       9.73    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 023       9.52    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <0,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 024       9.45    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 025       9.26    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 026       9.49    0.01
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 027       9.71    0.01
