# Testing Hostname: bgio297
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Processor <0,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 000  Processor <6,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 030     9.8218  0.0510
Processor <0,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 000  Processor <7,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 031     9.5759  0.0503
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001     0.0000  0.0000
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002     8.9095  0.0130
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003     9.1169  0.0094
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 004     9.2634  0.0066
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 005     9.5140  0.0095
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 006     9.2888  0.0052
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 007     9.0965  0.0065
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <0,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 008     9.1748  0.0076
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 009     8.8800  0.0053
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 010     9.1707  0.0077
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 011     9.2713  0.0072
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 012     9.5151  0.0093
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 013     9.7411  0.0071
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 014     9.6315  0.0106
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 015     9.3006  0.0071
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <0,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 016     9.3149  0.0079
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 017     9.0728  0.0076
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 018     9.3489  0.0073
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 019     9.5530  0.0076
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 020     9.7235  0.0079
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 021     9.9566  0.0084
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 022     9.7349  0.0094
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 023     9.5158  0.0092
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <0,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 024     9.4598  0.0090
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <1,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 025     9.2596  0.0041
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <2,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 026     9.4901  0.0084
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <3,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 027     9.7073  0.0096
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <4,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 028     9.9024  0.0104
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <5,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 029     10.1342  0.0092
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <6,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 030     9.9584  0.0091
Processor <1,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 001  Processor <7,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 031     9.7228  0.0106
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002     0.0000  0.0000
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003     8.8675  0.0097
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 004     9.0660  0.0059
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 005     9.2719  0.0086
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 006     9.5774  0.0087
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 007     9.2728  0.0040
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <0,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 008     9.3137  0.0076
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <1,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 009     9.1079  0.0066
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 010     8.8723  0.0040
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 011     9.1325  0.0066
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 012     9.2962  0.0073
