# Testing Hostname: Q1G-I6-J05.mira.i2b
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 2 of 32 (0,0,0,1,0,0)  R16-M1-N00-J12 002      15.59    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 3 of 32 (0,0,0,1,1,0)  R16-M1-N00-J11 003      15.21    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 4 of 32 (0,0,0,2,0,0)  R16-M1-N02-J12 004      15.53    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 5 of 32 (0,0,0,2,1,0)  R16-M1-N02-J11 005      15.20    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 6 of 32 (0,0,0,3,0,0)  R16-M1-N02-J00 006      15.37    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 7 of 32 (0,0,0,3,1,0)  R16-M1-N02-J07 007      15.14    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 8 of 32 (0,0,1,0,0,0)  R16-M1-N00-J01 008      15.14    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 9 of 32 (0,0,1,0,1,0)  R16-M1-N00-J06 009      15.07    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 10 of 32 (0,0,1,1,0,0)  R16-M1-N00-J13 010      15.19    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 11 of 32 (0,0,1,1,1,0)  R16-M1-N00-J10 011      15.21    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 12 of 32 (0,0,1,2,0,0)  R16-M1-N02-J13 012      15.54    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 13 of 32 (0,0,1,2,1,0)  R16-M1-N02-J10 013      15.33    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 14 of 32 (0,0,1,3,0,0)  R16-M1-N02-J01 014      15.36    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 15 of 32 (0,0,1,3,1,0)  R16-M1-N02-J06 015      15.43    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 16 of 32 (0,0,2,0,0,0)  R16-M1-N01-J01 016      15.49    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 17 of 32 (0,0,2,0,1,0)  R16-M1-N01-J06 017      15.19    0.02
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 18 of 32 (0,0,2,1,0,0)  R16-M1-N01-J13 018      15.39    0.03
Task 1 of 32 (0,0,0,0,1,0)  R16-M1-N00-J07 001  Task 19 of 32 (0,0,2,1,1,0)  R16-M1-N01-J10 019      15.37    0.02
