0.0, 1.66, 2.62, 2.63, 2.32, 2.45, 2.92, 2.76, 2.58, 2.65, 3.04, 3.16, 2.96, 3.21, 3.6, 3.75, 4.97, 4.98, 5.28, 4.96, 5.0, 4.95, 5.22, 5.03, 5.2, 5.12, 5.22, 5.2, 5.23, 5.2, 5.25, 5.52
1.66, 0.0, 2.32, 2.16, 2.11, 2.04, 2.07, 2.36, 2.53, 2.48, 2.42, 2.68, 2.68, 2.45, 2.82, 3.12, 13.73, 5.18, 5.26, 5.31, 5.21, 5.1, 5.28, 5.24, 5.48, 5.31, 5.5, 5.52, 5.44, 5.26, 5.53, 5.53
2.62, 2.32, 0.0, 1.38, 2.21, 2.01, 2.06, 2.26, 2.51, 2.41, 2.37, 2.73, 2.37, 2.59, 2.64, 3.07, 13.64, 5.16, 5.19, 5.12, 5.2, 5.15, 5.22, 5.22, 5.33, 5.13, 5.22, 5.45, 5.22, 5.39, 5.32, 5.3
2.63, 2.16, 1.38, 0.0, 2.16, 1.99, 2.08, 1.98, 2.53, 2.41, 2.48, 2.26, 2.44, 2.35, 2.48, 2.93, 12.69, 5.15, 5.19, 5.02, 5.1, 5.05, 5.13, 5.17, 5.41, 5.16, 5.16, 5.16, 5.34, 5.31, 5.27, 5.29
2.32, 2.11, 2.21, 2.16, 0.0, 1.39, 2.22, 2.16, 2.51, 2.37, 2.43, 2.52, 2.34, 2.57, 2.61, 3.03, 13.66, 5.09, 5.13, 5.05, 5.12, 5.0, 5.18, 5.07, 5.34, 5.22, 5.32, 5.18, 5.32, 5.14, 5.23, 5.24
2.45, 2.04, 2.01, 1.99, 1.39, 0.0, 2.19, 1.96, 2.41, 2.36, 2.43, 2.32, 2.34, 2.25, 2.45, 2.59, 13.23, 5.04, 5.1, 5.1, 5.09, 4.99, 5.04, 4.91, 5.46, 5.19, 5.25, 5.12, 5.21, 5.1, 5.19, 5.12
2.92, 2.07, 2.06, 2.08, 2.22, 2.19, 0.0, 1.47, 2.62, 2.47, 2.37, 2.28, 2.52, 2.33, 2.33, 2.54, 13.8, 5.21, 5.18, 5.08, 5.28, 5.07, 5.09, 5.09, 5.37, 5.18, 5.31, 5.24, 5.38, 5.23, 5.17, 5.26
2.76, 2.36, 2.26, 1.98, 2.16, 1.96, 1.47, 0.0, 2.49, 2.42, 2.37, 2.35, 2.54, 2.35, 2.44, 2.23, 13.37, 5.05, 5.05, 5.27, 5.18, 5.02, 5.01, 5.01, 5.38, 5.29, 5.48, 5.26, 5.24, 5.24, 5.26, 5.25
2.58, 2.53, 2.51, 2.53, 2.51, 2.41, 2.62, 2.49, 0.0, 1.47, 2.08, 2.25, 2.26, 2.22, 2.42, 2.56, 13.09, 5.34, 5.2, 5.37, 5.23, 5.44, 5.35, 5.63, 5.71, 5.37, 5.5, 5.38, 5.48, 5.5, 5.5, 5.46
2.65, 2.48, 2.41, 2.41, 2.37, 2.36, 2.47, 2.42, 1.47, 0.0, 2.08, 2.04, 2.15, 1.96, 2.2, 2.28, 13.55, 5.34, 5.22, 5.49, 5.33, 5.14, 5.3, 5.52, 5.54, 5.4, 5.38, 5.39, 5.97, 5.35, 5.42, 5.45
